Cycle,IF,ID,EX,MEM,WB,Event
148,"LW   t3, 0(t0)","BUBBLE","BZERO t2, PART2","BUBBLE","BUBBLE",""
149,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BZERO t2, PART2","BUBBLE",""
150,"LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE","BZERO t2, PART2",""
151,"LW   t4, 0(t1)","LW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE",""
152,"LW   t4, 0(t1)","BUBBLE","LW   t3, 0(t0)","BUBBLE","BUBBLE",""
153,"LW   t4, 0(t1)","BUBBLE","BUBBLE","LW   t3, 0(t0)","BUBBLE",""
154,"LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE","LW   t3, 0(t0)",""
155,"ZMUL t3, t3, t4","LW   t4, 0(t1)","BUBBLE","BUBBLE","BUBBLE",""
156,"ZMUL t3, t3, t4","BUBBLE","LW   t4, 0(t1)","BUBBLE","BUBBLE",""
157,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","LW   t4, 0(t1)","BUBBLE",""
158,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE","LW   t4, 0(t1)",""
159,"ADD  t5, t5, t3","ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE",""
160,"ADD  t5, t5, t3","BUBBLE","ZMUL t3, t3, t4","BUBBLE","BUBBLE",""
161,"ADD  t5, t5, t3","BUBBLE","BUBBLE","ZMUL t3, t3, t4","BUBBLE",""
162,"ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE","ZMUL t3, t3, t4",""
163,"ADDI t0, t0, 1","ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE",""
164,"ADDI t0, t0, 1","BUBBLE","ADD  t5, t5, t3","BUBBLE","BUBBLE",""
165,"ADDI t0, t0, 1","BUBBLE","BUBBLE","ADD  t5, t5, t3","BUBBLE",""
166,"ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE","ADD  t5, t5, t3",""
